Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-Oct-23,649,651.45,645.45,647.3,647.80643,34339,2437,22245025,21428,62.4,6,-1.7
16-Oct-23,645.95,645.95,638,638.75,640.4587695,21113,1291,13522006,9255,43.84,7.95,-7.2
17-Oct-23,640.55,652.8,638.95,643.2,644.7043161,22196,1064,14309857,8300,37.39,13.85,2.65
18-Oct-23,646.1,647.85,638.7,641.25,642.6084579,39868,2859,25619514,20446,51.28,9.15,-4.85
19-Oct-23,640.95,640.95,636,637.65,638.0621538,39531,3000,25223235,20966,53.04,4.95,-3.3
20-Oct-23,636.95,637.75,625,628.7,632.1482356,59709,5701,37744939,36900,61.8,12.75,-8.25
23-Oct-23,628.95,630.5,615,617.1,621.444936,77074,7368,47897247,48219,62.56,15.5,-11.85
25-Oct-23,618,623.4,605.55,610.75,613.876793,20705,1649,12710319,9332,45.07,17.85,-7.25
26-Oct-23,607.15,611,599,604.85,604.1973203,86428,7664,52219566,41469,47.98,12,-2.3
27-Oct-23,618.75,623.5,611.75,621.35,619.6268178,58655,5422,36344211,38849,66.23,11.75,2.6
30-Oct-23,621.65,644,617,631.6,631.5213629,55821,4082,35252154,32506,58.23,27,9.95
31-Oct-23,631.6,636.25,609.1,612.75,619.4749969,49154,7025,30449674,35364,71.95,27.15,-18.85
01-Nov-23,628.65,635.9,615,618,624.6920576,47681,2449,29785942,33904,71.11,20.9,-10.65
02-Nov-23,621.6,625.5,617,618.15,618.9322927,25817,3222,15978975,16975,65.75,8.5,-3.45
03-Nov-23,622.05,624.75,618.55,621,621.2698437,26671,2497,16569888,17302,64.87,6.2,-1.05
06-Nov-23,622.05,632.7,622,628.25,625.2183154,11433,930,7148121,6065,53.05,10.7,6.2
07-Nov-23,629.05,635,628,631.45,631.369816,13696,908,8647241,7696,56.19,7,2.4
08-Nov-23,632.05,640.8,632,635.85,637.2387437,12704,908,8095481,7781,61.25,8.8,3.8
09-Nov-23,638.95,638.95,627.3,630.95,631.8329242,22810,2078,14412109,13002,57,11.65,-8
10-Nov-23,629.95,630.9,625.55,628.35,627.7066588,10152,596,6372478,6185,60.92,5.35,-1.6
12-Nov-23,632.05,639,632.05,638.5,637.5409881,25788,2610,16440907,20425,79.2,6.95,6.45
13-Nov-23,636.05,641.95,634,639.8,638.536574,12919,822,8249254,7233,55.99,7.95,3.75
15-Nov-23,643.85,648,636.55,642.55,642.1672892,63453,3677,40747441,40594,63.97,11.45,-1.3
16-Nov-23,643.05,648.75,639.85,641.75,644.6931774,43781,2620,28225312,28703,65.56,8.9,-1.3
17-Nov-23,646.75,647.85,637.05,639.1,643.5160087,12868,921,8280764,7727,60.05,10.8,-7.65
20-Nov-23,642,646.45,639.1,640.5,642.6339831,11800,813,7583081,6530,55.34,7.35,-1.5
21-Nov-23,640.55,658.7,640.55,654.85,650.88946,30740,1732,20008342,16643,54.14,18.15,14.3
22-Nov-23,655.4,660,648,650.85,652.7562888,13516,1058,8822654,8816,65.23,12,-4.55
23-Nov-23,654.95,670,646.15,667,660.164852,177717,8095,117322517,112410,63.25,23.85,12.05
24-Nov-23,668.05,684.5,663.05,678.55,676.8397397,204380,11556,138332506,142517,69.73,21.45,10.5
28-Nov-23,687.45,704,678,700.2,692.3622023,82476,3546,57103265,50580,61.33,26,12.75
29-Nov-23,708.8,709,688.5,695.2,696.2264029,38776,1478,26996875,18483,47.67,20.5,-13.6
30-Nov-23,696.05,711,689.95,709.6,703.7990605,163920,9604,115366742,123132,75.12,21.05,13.55
01-Dec-23,715.45,799,715.25,768.65,763.672001,265013,8611,202383008,92058,34.74,83.75,53.2
04-Dec-23,785.05,790,764,768,776.8688472,108507,3530,84295708,51885,47.82,26,-17.05
05-Dec-23,774,777.7,751.45,757.25,764.2984339,49485,2097,37821308,23357,47.2,26.25,-16.75
06-Dec-23,758.05,763.5,750,751.55,753.5335194,33324,1920,25110751,17323,51.98,13.5,-6.5
07-Dec-23,750.05,773,750.05,763.45,766.3645148,132675,5889,101677412,58171,43.84,22.95,13.4
08-Dec-23,770.8,771.15,749.45,752,756.3603058,29561,2091,22358767,14528,49.15,21.7,-18.8
11-Dec-23,753.95,768,753.95,759.4,761.5877347,83194,4208,63359530,41505,49.89,14.05,5.45
12-Dec-23,760.05,767.25,752.4,755.2,759.8178373,67028,4006,50929070,38441,57.35,14.85,-4.85
13-Dec-23,766.1,784.25,762.8,776.15,771.1910895,38741,1707,29876714,23448,60.52,21.45,10.05
14-Dec-23,782.75,785,768.25,770.1,772.6239724,20315,1131,15695856,11080,54.54,16.75,-12.65
15-Dec-23,770.15,780,762.4,764.8,770.1348879,66040,4507,50859708,39737,60.17,17.6,-5.35
18-Dec-23,774.95,789.45,757.25,780.85,776.5033309,44132,2547,34268645,18638,42.23,32.2,5.9
19-Dec-23,789,799.2,779,783.15,788.1561435,45471,2569,35838248,24563,54.02,20.2,-5.85
