Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-Apr-24,434.95,442.95,427.05,429.9,437.0638334,1452076,15579,634649903,544356,37.49,15.9,-5.05
19-Apr-24,425.75,431.7,419.05,428,426.2704188,2260727,29161,963681045,739663,32.72,12.65,2.25
22-Apr-24,433.9,435.1,426.9,427.9,429.1487773,859264,10421,368752095,389261,45.3,8.2,-6
23-Apr-24,431.7,432.25,427.9,429.4,430.0150045,626880,8877,269567806,314191,50.12,4.35,-2.3
24-Apr-24,431.55,432.7,427.05,428.35,430.0938016,331700,5683,142662114,141718,42.72,5.65,-3.2
25-Apr-24,428.7,432.9,427,431.5,429.6448155,952398,17411,409192863,420822,44.19,5.9,2.8
26-Apr-24,431.55,440.4,431.55,436.75,437.1789633,1609246,27037,703528498,847640,52.67,8.85,5.2
29-Apr-24,440,451.5,437.3,448.1,445.1646676,1246693,13727,554983675,356515,28.6,14.2,8.1
30-Apr-24,451.95,455.2,448.35,449.1,452.0835079,1994794,32250,901813469,947685,47.51,6.85,-2.85
02-May-24,450.4,459.95,449.3,457.7,456.0966066,1059959,14392,483443703,383308,36.16,10.65,7.3
03-May-24,462.65,464.3,448.65,454.6,458.1696281,927323,15953,424871234,285543,30.79,15.65,-8.05
06-May-24,459.55,459.55,442.5,446.15,449.6112511,884059,14584,397482873,280620,31.74,17.05,-13.4
07-May-24,449,449,432.35,436.3,438.3917325,793036,17206,347660426,238250,30.04,16.65,-12.7
08-May-24,435.15,441.25,430.05,435.45,437.4733247,1035771,15487,453122183,400213,38.64,11.2,0.3
09-May-24,428,431,412.1,413.65,421.0923768,4060424,84942,1709813593,1706955,42.04,18.9,-14.35
10-May-24,415,418.25,404.05,414.75,412.3261137,2575651,50202,1062008167,1140371,44.28,14.2,-0.25
13-May-24,412.55,415,396.5,411.8,405.9310044,1161566,21357,471515653,329951,28.41,18.5,-0.75
14-May-24,413,431.95,412.5,430.3,423.2343116,1846575,33133,781533899,841405,45.57,19.45,17.3
15-May-24,434.35,439.95,430.35,431.45,433.7871797,972506,12066,421860635,321515,33.06,9.6,-2.9
16-May-24,434.6,436.15,426.75,433.9,431.5396801,1120977,19913,483746056,438816,39.15,9.4,-0.7
17-May-24,434.3,438.2,432.6,436.3,435.5279628,377305,6162,164326878,172908,45.83,5.6,2
