Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-Feb-24,568.6,577,565,567.85,569.6954678,88897,2480,50644218,88897,100,12,-0.75
20-Feb-24,570,573.8,553,554.85,559.4118848,184117,5435,102997238,184117,100,20.8,-15.15
21-Feb-24,560,560,537.25,541.4,548.4976921,208412,7151,114313501,208412,100,22.75,-18.6
22-Feb-24,543,565,528,560.05,550.7356925,225756,6267,124331887,225756,100,37,17.05
23-Feb-24,565,565,555,559.25,560.4918797,66746,2266,37410591,66746,100,10,-5.75
26-Feb-24,557,574,551.05,567.95,565.7707047,343304,6743,194231346,343304,100,22.95,10.95
27-Feb-24,572,575,561,566.65,568.7738674,68451,2068,38933140,68451,100,14,-5.35
28-Feb-24,566.7,570,548,550.95,554.7903375,91633,2383,50837103,91633,100,22,-15.75
29-Feb-24,550.95,560,539.05,549.85,544.8181196,178337,6603,97161229,178337,100,20.95,-1.1
01-Mar-24,556.95,559.6,550,553.5,554.3091359,62610,1885,34705295,62610,100,9.6,-3.45
